"Title","Author","Subjects","Cover","Description"
"Le papillon des étoiles","Bernard Werber","Roman#Science fiction","https://covers.openlibrary.org/b/id/12158050-S.jpg","Cette planète est notre berceau mais nous l'avons saccagée. Nous ne pourrons plus jamais la soigner ni la retrouver comme avant. Quand la maison s'effondre, il faut partir. Recommencer tout, ailleurs et autrement. Le Dernier Espoir, c'est la Fuite."
"Demain les chats","Bernard Werber","Roman#Fiction#Cats","https://covers.openlibrary.org/b/id/10234456-S.jpg",null
